cluster_id,normalised_title_year,record_id_a,date_a,url_a,fresh_words_a,fresh_sha256_a,extractor_a,record_id_b,date_b,url_b,fresh_words_b,fresh_sha256_b,extractor_b,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,similarity_signal,final_duplicate_decision,final_duplicate_reason
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,SEC-MEDIA-0184,2013-06-25,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-06-25,1356,3406e448a293626ade1b3e1351faf4a36a7c315c4bdb366cc8af802e24e201c6,trafilatura,SEC-MEDIA-0185,2013-07-05,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-07-05,1364,85dba1529fd97112c82c4dc153bc968c35868e8677def8451e68e37359161feb,trafilatura,0.988960,0.977901,0.859216,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,DISC-MEDIA-0412,2013-03-05,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,1654,78271d7250a653af83d3827a5bf385d8b1384c7caeb8562c150fa9226b3b8928,trafilatura,DISC-MEDIA-0413,2013-03-15,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,1646,e4be7d541159360a7a72f98df4138765f26ac8d55c9bed67c4a6ade33017c940,trafilatura,0.989200,0.977745,0.866310,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,SEC-MEDIA-0389,2014-01-22,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-22,705,1fa6940b2187fccb25612c306a5f7bd68cc4a9151e2a0f19fc265bf742160daf,trafilatura,SEC-MEDIA-0390,2014-01-31,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-31,667,843b7bbf2e33aea3b7b54b7dcbf6fc60813e87c3ac34c440f8112ba23e85b3f1,trafilatura,0.966456,0.913907,0.781022,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,DISC-MEDIA-0456,2018-03-23,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,662,86cc7c2dcf07947e52e6eacd77c97b7688ed1088dca8bbf7e9e52237d8b9740c,trafilatura,DISC-MEDIA-0457,2018-04-06,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,651,9bab9b593fc50ff5639673df840c723102c11472515a367d228062efc41cbf1f,trafilatura,0.968188,0.927869,0.739850,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,DISC-MEDIA-0459,2014-07-30,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,1142,2296c5b02c6c6909fb17221f3c8a58b834f6cb1034ade20e73a37ac948d66174,trafilatura,DISC-MEDIA-0460,2014-08-08,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,1140,380fa45672a52c90429746e3707ecfbb0b90c91076995ef6fbfade5ff35ab754,trafilatura,0.990532,0.968254,0.792275,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0006,lonmin plans to cut 4 100 workers as it closes platinum mines | 2019,DISC-MEDIA-0476,2019-05-21,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,427,2f9c25b362167103bf6d5457adc350cecfa3c8b0b27c04aa95c05906ec65611c,trafilatura,DISC-MEDIA-0477,2019-05-31,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,266,bb0feb26c70e4edfa38fad416ebdeb26bc26c9584b10790211b48dcecdb14cba,trafilatura,0.788311,0.515625,0.549133,moderate_similarity_distinct_update_possible,,
MEDIA-TITLEYEAR-0007,lonmin share price rises as company reports higher fy production earnings | 2013,DISC-MEDIA-0503,2013-11-11,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,847,6c62d28c8f99b54860e9d6f8f035443885952acdb2322a55abf2982372bd9d78,trafilatura,DISC-MEDIA-0504,2013-11-22,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,837,895c654541f36ecd9479b7df3af079cc96f5250b94386023c2c6938ec4806260,trafilatura,0.952658,0.930295,0.767795,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0008,lonmin undertakes refinancing delivers on results promise | 2018,DISC-MEDIA-0525,2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,1362,29fd3554c7973771221749e9bb0f3667df6959f6d34eb394c845b8cb719e8a6e,trafilatura,DISC-MEDIA-0526,2018-11-02,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,1269,d429f68b4816f66b4a6164bea07dbc0371f79bf41744769f6249c31202dfd62b,trafilatura,0.933391,0.884030,0.706046,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0009,lonmin unveils design proposal for marikana memorial park showcases new apartments | 2017,DISC-MEDIA-0527,2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,909,70d9363b1e426ac5e4b1d59bb3f92e48791b306af7f1cb2d9f43db7d602b6f08,trafilatura,DISC-MEDIA-0528,2017-08-25,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,911,ad70507527f9dea7f141c4159559e400df592a09459fe37a033dff83ed45feb2,trafilatura,0.982871,0.959620,0.839030,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0010,nothing off table as lonmin pursues value in low platinum price environment | 2017,DISC-MEDIA-0589,2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,2196,ef40a1dc55f86f35f136366973024b6d58fc586de91a2c8eaa0353c4f40da1d9,trafilatura,DISC-MEDIA-0590,2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,2114,f7ffdd27aa1f772d55378add08da4c2fe1dcff0c334b4f78dc19568d6b1a9774,trafilatura,0.960983,0.960479,0.906236,high_similarity_requires_republication_review,,
