candidate_id,source_family,title,year,publisher,url,decision,status,relevance_note
EXP-OFFICIAL-001,Commission submission,"David Bruce Submissions to the Marikana Commission",2014,"David Bruce / Marikana Commission",https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DaveBruce.pdf,include_candidate,verified,"Substantive authored Commission submission omitted from the 13-record official seed"
EXP-OFFICIAL-002,Commission submission,"Mabelane Fundi Heads of Argument",2014,"Mabelane Fundi / Marikana Commission",https://www.justice.gov.za/comm-mrk/docs/201411-HoA-MabelaneFundi.pdf,include_candidate,verified,"Substantive Commission filing listed on the official Justice archive and omitted from the seed"
EXP-OFFICIAL-003,Commission expert paper,"How can the South African Police Service prevent another Marikana?",2014,"Gareth Newham / Institute for Security Studies",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Newham.pdf,include_candidate,verified,"Official Commission-hosted expert paper directly addressing policing reform after Marikana"
EXP-OFFICIAL-004,Commission expert paper,"Explaining violence in strikes",2014,"Crispen Chinguno / SWOP",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,include_candidate,verified,"Official Commission-hosted expert analysis of strike violence and Marikana"
EXP-OFFICIAL-005,Commission expert paper,"Strike Violence: An Alternative Avenue",2014,"Edward Webster / SWOP",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Webster.pdf,include_candidate,verified,"Official Commission-hosted expert paper with explicit Marikana process analysis"
EXP-OFFICIAL-006,Commission expert paper,"Understanding the causes and re-thinking the future post the strike wave",2014,"Gavin Hartford",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Hartford.pdf,include_candidate,verified,"Official Commission-hosted expert paper on the causes of the strike wave including Lonmin/Marikana"
EXP-OFFICIAL-007,Commission expert paper,"Mining & Migrancy",2014,"Francis Wilson",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Wison.pdf,include_candidate,verified,"Official Commission-hosted expert paper on migrancy and mining conditions relevant to Marikana"
EXP-OFFICIAL-008,Commission expert paper,"Workers Bypassing Unions: How to Respond?",2014,"Ian Macun / Department of Labour",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-platinum.pdf,include_candidate,verified,"Official Commission-hosted paper explicitly interpreting labour-representation failures highlighted by Marikana"
EXP-OFFICIAL-009,Commission expert paper,"Resolving labour tensions in African mining – the effective regulation of industrial democracy",2014,"John Brand",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-SAIIA-Roundtable.pdf,include_candidate,verified,"Official Commission-hosted industrial-relations paper used in the Marikana seminar series"
EXP-OFFICIAL-010,Commission expert paper,"Post-apartheid Trade Union Role and Weaknesses",2014,"Sakhela Buhlungu / University of Cape Town",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-UCT.pdf,include_candidate,verified,"Official Commission-hosted paper titled The Meaning of Marikana and focused on trade-union weaknesses"
EXP-OFFICIAL-011,Commission submission,"Opening Statement on behalf of the families of 21 striking miners killed on 16 August 2012",2012,"Counsel for the Families / SERI archive",https://www.seri-sa.org/images/stories/marikana_opening_submissions_final.pdf,include_candidate,verified,"Ten-page substantive opening submission directly addressing SAPS, Lonmin, labour and socioeconomic causes"
EXP-OFFICIAL-012,Commission submission,"Monene Family Heads of Argument",2014,"Monene Family / SERI archive",https://www.seri-sa.org/images/Monene_Heads.pdf,include_candidate,verified,"Substantive family submission listed in SERI's Commission archive"
EXP-OFFICIAL-013,Commission submission,"Lepaaku and Baloyi Families Written Submissions",2014,"Lepaaku and Baloyi Families / SERI archive",https://www.seri-sa.org/images/Lepaaku_Baloyi_Heads.pdf,include_candidate,verified,"Substantive family submission listed in SERI's Commission archive"
