candidate_id,party_or_source,document_title,year,url,status,selection_basis
OFFICIAL-001,AMCU,"AMCU Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,verified,"Official Marikana Commission filing; labour stakeholder"
OFFICIAL-002,Bapo ba Mogale,"Bapo ba Mogale Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,verified,"Official Marikana Commission filing; host-community/traditional authority stakeholder"
OFFICIAL-003,DMR / Minister Shabangu,"DMR-Shabangu Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,verified,"Official Marikana Commission filing; mining regulator/government stakeholder"
OFFICIAL-004,Evidence Leaders,"Heads of Argument of Evidence Leaders",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,verified,"Official Marikana Commission filing; independent Commission evidentiary perspective"
OFFICIAL-005,Families,"Heads of Argument on behalf of Families",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,verified,"Official Marikana Commission filing; families of deceased stakeholder perspective"
OFFICIAL-006,Injured and Arrested Persons,"Heads of Argument of Injured and Arrested Persons",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,verified,"Official Marikana Commission filing; directly affected worker/civilian perspective"
OFFICIAL-007,Lonmin,"Lonmin Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,verified,"Official Marikana Commission filing; company/investor stakeholder"
OFFICIAL-008,"Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre)","Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,verified,"Official Marikana Commission filing; community/family and NGO stakeholder submission represented by the Legal Resources Centre"
OFFICIAL-009,Nathi Mthethwa,"Mthethwa Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,verified,"Official Marikana Commission filing; executive/government perspective"
OFFICIAL-010,NUM and Mrs Fundi,"NUM & Mrs Fundi Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,verified,"Official Marikana Commission filing; labour/union perspective distinct from AMCU"
OFFICIAL-011,Cyril Ramaphosa,"Ramaphosa Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,verified,"Official Marikana Commission filing; corporate/government-linked stakeholder perspective"
OFFICIAL-012,South African Human Rights Commission,"SAHRC Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,verified,"Official Marikana Commission filing; independent human-rights oversight perspective"
OFFICIAL-013,South African Police Service,"SAPS Heads of Argument",2014,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAPS.pdf,verified,"Official Marikana Commission filing; police/state enforcement stakeholder"
