redundant_record_id,representative_record_id,decision_family,reason,evidence
DISC-MEDIA-0646,MEDIA-051,cross_phase_republication,Same Sibanye Marikana retrenchment story; 4 Oct 2019 item republishes/updates the 25 Sep 2019 Creamer Media report. Representative follows transitive prior-QC collapse MEDIA-051 <- EXP-MEDIA-060.,same_title_same_publisher_close_date_plus_external_creamer_media_verification
SEC-MEDIA-0190,expanded_media_candidates__EXP-MEDIA-006,cross_site_syndication,Same-date Creamer Media article on Engineering News/Mining Weekly with identical acquired-text SHA and matching article slug; headline wording differs only by Lonmin qualifier.,same_date_matching_slug_identical_sha_sibling_creamer_media_sites
SEC-MEDIA-0253,expanded_media_candidates_batch1__EXP-MEDIA-032,cross_site_syndication,Same-date Creamer Media article on Engineering News/Mining Weekly with identical acquired-text SHA and identical URL slug despite alternate metadata title.,same_date_identical_slug_identical_sha_sibling_creamer_media_sites
SEC-MEDIA-0779,SAT-MEDIA-014,cross_site_syndication,"Same-date Engineering News/Mining Weekly Creamer Media item with same normalized title, matching slug and identical acquired-text SHA.",same_date_same_title_matching_slug_identical_sha_sibling_creamer_media_sites
EXP-MEDIA-063,MEDIA-054,prior_qc_cross_site_republication,Same-day Mining Weekly/Engineering News Creamer Media article; prior QC text similarity 0.999097.,prior_qc_similarity_0.999097_same_title_date_creamer_media
WEB-MEDIA-005,SAT5-MEDIA-003,prior_qc_cross_site_republication,Same-day Engineering News/Mining Weekly Creamer Media article on Marikana housing accountability; prior QC similarity 0.998947.,prior_qc_similarity_0.998947_same_case_article_date_creamer_media
SAT6-MEDIA-001,MEDIA-008,prior_qc_cross_site_republication,Same-day Mining Weekly/Engineering News Creamer Media article; prior QC similarity 0.998915.,prior_qc_similarity_0.998915_same_title_date_creamer_media
EXP-MEDIA-060,MEDIA-051,prior_qc_cross_site_republication,Same-day Mining Weekly/Engineering News Creamer Media article; prior QC similarity 0.998719.,prior_qc_similarity_0.998719_same_title_date_creamer_media
SAT5-MEDIA-002,MEDIA-014,prior_qc_cross_site_republication,Same-day Mining Weekly/Engineering News Creamer Media article; prior QC similarity 0.998651.,prior_qc_similarity_0.998651_same_title_date_creamer_media
EXP-MEDIA-061,MEDIA-053,prior_qc_cross_site_republication,Same-day Mining Weekly/Engineering News Creamer Media article; prior QC similarity 0.997893.,prior_qc_similarity_0.997893_same_title_date_creamer_media
SAT5-MEDIA-001,MEDIA-040,prior_qc_cross_site_republication,Same 25 June 2015 Farlam/Lonmin housing article on sibling Engineering News and Mining Weekly Creamer Media sites; externally verified same author/date/body subject.,same_title_date_creamer_media_cross_site_external_verification
