cluster_id,normalised_title_year,representative_record_id,representative_date,redundant_republication_record_id,redundant_date,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,final_duplicate_decision,final_duplicate_reason,review_note,decision_provenance
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,SEC-MEDIA-0184,2013-06-25,SEC-MEDIA-0185,2013-07-05,0.988943,0.977819,0.859012,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.988943, token Jaccard=0.977819, five-word shingle Jaccard=0.859012. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,DISC-MEDIA-0412,2013-03-05,DISC-MEDIA-0413,2013-03-15,0.989186,0.977679,0.866151,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.989186, token Jaccard=0.977679, five-word shingle Jaccard=0.866151. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,SEC-MEDIA-0389,2014-01-22,SEC-MEDIA-0390,2014-01-31,0.966351,0.913333,0.780381,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.966351, token Jaccard=0.913333, five-word shingle Jaccard=0.780381. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,DISC-MEDIA-0456,2018-03-23,DISC-MEDIA-0457,2018-04-06,0.968089,0.927632,0.739065,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.968089, token Jaccard=0.927632, five-word shingle Jaccard=0.739065. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,DISC-MEDIA-0459,2014-07-30,DISC-MEDIA-0460,2014-08-08,0.990515,0.968109,0.791917,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.990515, token Jaccard=0.968109, five-word shingle Jaccard=0.791917. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0006,lonmin plans to cut 4 100 workers as it closes platinum mines | 2019,DISC-MEDIA-0476,2019-05-21,DISC-MEDIA-0477,2019-05-31,0.787037,0.510526,0.546512,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_external_original_corroborated,Later Engineering News extraction is a known boilerplate collision. Exact title/publisher/date-pattern review plus the independently recoverable 21 May 2019 Bloomberg version supports treating the 31 May page as a republication. External corroboration: https://www.miningweekly.com/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0007,lonmin share price rises as company reports higher fy production earnings | 2013,DISC-MEDIA-0503,2013-11-11,DISC-MEDIA-0504,2013-11-22,0.952538,0.929919,0.767251,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.952538, token Jaccard=0.929919, five-word shingle Jaccard=0.767251. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0008,lonmin undertakes refinancing delivers on results promise | 2018,DISC-MEDIA-0525,2018-10-22,DISC-MEDIA-0526,2018-11-02,0.933284,0.883588,0.705637,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.933284, token Jaccard=0.883588, five-word shingle Jaccard=0.705637. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0009,lonmin unveils design proposal for marikana memorial park showcases new apartments | 2017,DISC-MEDIA-0527,2017-08-15,DISC-MEDIA-0528,2017-08-25,0.982832,0.959427,0.838674,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.982832, token Jaccard=0.959427, five-word shingle Jaccard=0.838674. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0010,nothing off table as lonmin pursues value in low platinum price environment | 2017,DISC-MEDIA-0589,2017-04-07,DISC-MEDIA-0590,2017-04-07,0.960943,0.960432,0.906149,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.960943, token Jaccard=0.960432, five-word shingle Jaccard=0.906149. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0011,platinum strike experience should strengthen collective bargaining davies | 2014,SEC-MEDIA-0485,2014-06-24,SEC-MEDIA-0486,2014-07-04,0.981953,0.971731,0.912829,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.981953, token Jaccard=0.971731, five-word shingle Jaccard=0.912829. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0012,sa mining challenges about far more than marikana migrant labour manuel | 2013,DISC-MEDIA-0625,2013-08-30,DISC-MEDIA-0626,2013-09-13,0.993788,0.975000,0.938349,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.993788, token Jaccard=0.975000, five-word shingle Jaccard=0.938349. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0013,sibanye eyes platinum opportunities as sector overdue for consolidation | 2014,SEC-MEDIA-0622,2014-06-04,SEC-MEDIA-0623,2014-06-13,0.980494,0.941645,0.821832,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.980494, token Jaccard=0.941645, five-word shingle Jaccard=0.821832. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0014,sibanye says concourt dismisses glcs applications | 2019,SEC-MEDIA-0779,2019-09-05,SEC-MEDIA-0780,2019-09-13,0.900444,0.864198,0.714015,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.900444, token Jaccard=0.864198, five-word shingle Jaccard=0.714015. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0015,south africa must prosecute 2012 marikana deaths amnesty says | 2017,DISC-MEDIA-0662,2017-08-15,DISC-MEDIA-0663,2017-08-25,0.989751,0.977273,0.946108,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.989751, token Jaccard=0.977273, five-word shingle Jaccard=0.946108. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0016,strike hit mothers have no food to put on the table lonmin | 2014,DISC-MEDIA-0665,2014-04-03,DISC-MEDIA-0666,2014-04-11,0.987506,0.968254,0.854054,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.987506, token Jaccard=0.968254, five-word shingle Jaccard=0.854054. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
