candidate_id,source_family,title,year,publisher,url,decision,status,relevance_note
EXP-MEDIA-037,Mining Weekly,"Lonmin workers embark on illegal work stoppage",2013,"Mining Weekly",https://www.miningweekly.com/article/illegal-strike-erupts-at-lonmin-2013-03-05,include_candidate,verified,"Direct post-Marikana work stoppage at Lonmin involving AMCU/NUM representation tensions"
EXP-MEDIA-038,Mining Weekly,"AMCU, Lonmin find strike-averting meeting point?",2013,"Mining Weekly",https://www.miningweekly.com/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,include_candidate,verified,"Direct AMCU-Lonmin recognition and strike-prevention negotiations"
EXP-MEDIA-039,Mining Weekly,"Lonmin confirms work stoppage across shafts",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,include_candidate,verified,"Direct Marikana/Lonmin labour stoppage and union conflict"
EXP-MEDIA-040,Mining Weekly,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",2013,"Mining Weekly",https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,include_candidate,verified,"Direct collective-bargaining and recognition dispute at Lonmin"
EXP-MEDIA-041,Mining Weekly,"Lonmin to lose 3 100 oz/d, Implats 2 800 oz/d in production owing to AMCU strike",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-to-lose-3-100-ozd-implats-2-800-ozd-in-production-owing-to-amcu-strike-2014-01-23,include_candidate,verified,"Direct Lonmin operational and investor impact of the 2014 platinum strike"
EXP-MEDIA-042,Mining Weekly,"AMCU, platinum companies' wage talks stall",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-platinum-companies-wage-talks-stall-2014-02-06,include_candidate,verified,"Substantive wage-negotiation evidence involving Lonmin during the 2014 strike"
EXP-MEDIA-043,Mining Weekly,"AMCU sidelined as platinum producers take offer directly to employees",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-sidelined-as-platinum-producers-take-offer-directly-to-employees-2014-04-25,include_candidate,verified,"Direct employer-union bargaining strategy involving Lonmin workers during the 2014 strike"
EXP-MEDIA-044,Mining Weekly,"Lonmin hit hardest by strike, third capital raising expected",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,include_candidate,verified,"Direct investor/financial consequences of the prolonged strike at Lonmin"
EXP-MEDIA-045,Mining Weekly,"AMCU rejects platinum offer, sticking to R12 500 demand",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-rejects-platinum-offer-sticking-to-r12-500-demand-2014-01-31,include_candidate,verified,"Substantive Lonmin wage dispute and labour stakeholder position"
EXP-MEDIA-046,Daily Maverick,"Farlam Commission: More Marikana massacre secrets and lies",2014,"Daily Maverick",https://www.dailymaverick.co.za/article/2014-03-14-farlam-commission-more-marikana-massacre-secrets-and-lies/,include_candidate,verified,"Direct Commission evidence on police conduct and accountability"
EXP-MEDIA-047,Daily Maverick,"In Marikana, local government's failures in plain sight",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight/,include_candidate,verified,"Direct community living-conditions and local-government governance evidence in Marikana"
EXP-MEDIA-048,Daily Maverick,"Cyril Ramaphosa: The true betrayal",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-10-27-cyril-ramaphosa-the-true-betrayal/,include_candidate,verified,"Direct corporate-government stakeholder involvement tied to Lonmin and Commission evidence"
EXP-MEDIA-049,Daily Maverick,"Marikana Commission: Phiyega's testimony begins",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-03-15-marikana-commission-phiyegas-testimony-begins/,include_candidate,verified,"Direct police leadership testimony and Lonmin management interaction before the Commission"
EXP-MEDIA-050,Daily Maverick,"Marikana Commission: Sangoma's death and Phiyega's understanding of truth",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-03-26-marikana-commission-sangomas-death-and-phiyegas-understanding-of-truth/,include_candidate,verified,"Direct Commission evidence and police narrative/accountability"
EXP-MEDIA-051,Mining Weekly,"Lonmin ops ramping up, normal levels expected by Q1 2015",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-ops-ramping-up-normal-levels-expected-by-q1-2015-2014-07-25,include_candidate,verified,"Direct Marikana production recovery and costs following the five-month strike"
EXP-MEDIA-052,Mining Weekly,"We made significant progress in Marikana, says Lonmin",2018,"Mining Weekly",https://www.miningweekly.com/article/we-made-significant-progress-in-marikana-says-lonmin-2018-08-15,include_candidate,verified,"Direct corporate claims about Marikana community, housing and social progress"
