record_id,stakeholder_group,variant,criterion,matched_sentences,distinct_families,relevant
OFFICIAL-009,government,primary_preregistered,NPV,0,0,false
OFFICIAL-009,government,primary_preregistered,IRR,0,0,false
OFFICIAL-009,government,primary_preregistered,Geological Feasibility,1,1,false
OFFICIAL-009,government,primary_preregistered,Market Stability,0,0,false
OFFICIAL-009,government,primary_preregistered,Local Employment,2,2,true
OFFICIAL-009,government,primary_preregistered,Community Infrastructure,2,1,false
OFFICIAL-009,government,employment_strict,NPV,0,0,false
OFFICIAL-009,government,employment_strict,IRR,0,0,false
OFFICIAL-009,government,employment_strict,Geological Feasibility,1,1,false
OFFICIAL-009,government,employment_strict,Market Stability,0,0,false
OFFICIAL-009,government,employment_strict,Local Employment,0,0,false
OFFICIAL-009,government,employment_strict,Community Infrastructure,2,1,false
OFFICIAL-009,government,finance_broad_employment_strict,NPV,0,0,false
OFFICIAL-009,government,finance_broad_employment_strict,IRR,0,0,false
OFFICIAL-009,government,finance_broad_employment_strict,Geological Feasibility,1,1,false
OFFICIAL-009,government,finance_broad_employment_strict,Market Stability,0,0,false
OFFICIAL-009,government,finance_broad_employment_strict,Local Employment,0,0,false
OFFICIAL-009,government,finance_broad_employment_strict,Community Infrastructure,2,1,false
OFFICIAL-003,government,primary_preregistered,NPV,0,0,false
OFFICIAL-003,government,primary_preregistered,IRR,0,0,false
OFFICIAL-003,government,primary_preregistered,Geological Feasibility,7,1,false
OFFICIAL-003,government,primary_preregistered,Market Stability,0,0,false
OFFICIAL-003,government,primary_preregistered,Local Employment,13,5,true
OFFICIAL-003,government,primary_preregistered,Community Infrastructure,2,1,false
OFFICIAL-003,government,employment_strict,NPV,0,0,false
OFFICIAL-003,government,employment_strict,IRR,0,0,false
OFFICIAL-003,government,employment_strict,Geological Feasibility,7,1,false
OFFICIAL-003,government,employment_strict,Market Stability,0,0,false
OFFICIAL-003,government,employment_strict,Local Employment,0,0,false
OFFICIAL-003,government,employment_strict,Community Infrastructure,2,1,false
OFFICIAL-003,government,finance_broad_employment_strict,NPV,0,0,false
OFFICIAL-003,government,finance_broad_employment_strict,IRR,0,0,false
OFFICIAL-003,government,finance_broad_employment_strict,Geological Feasibility,7,1,false
OFFICIAL-003,government,finance_broad_employment_strict,Market Stability,0,0,false
OFFICIAL-003,government,finance_broad_employment_strict,Local Employment,0,0,false
OFFICIAL-003,government,finance_broad_employment_strict,Community Infrastructure,2,1,false
OFFICIAL-002,community,primary_preregistered,NPV,0,0,false
OFFICIAL-002,community,primary_preregistered,IRR,0,0,false
OFFICIAL-002,community,primary_preregistered,Geological Feasibility,1,1,false
OFFICIAL-002,community,primary_preregistered,Market Stability,0,0,false
OFFICIAL-002,community,primary_preregistered,Local Employment,24,5,true
OFFICIAL-002,community,primary_preregistered,Community Infrastructure,30,9,true
OFFICIAL-002,community,employment_strict,NPV,0,0,false
OFFICIAL-002,community,employment_strict,IRR,0,0,false
OFFICIAL-002,community,employment_strict,Geological Feasibility,1,1,false
OFFICIAL-002,community,employment_strict,Market Stability,0,0,false
OFFICIAL-002,community,employment_strict,Local Employment,0,0,false
OFFICIAL-002,community,employment_strict,Community Infrastructure,30,9,true
OFFICIAL-002,community,finance_broad_employment_strict,NPV,0,0,false
OFFICIAL-002,community,finance_broad_employment_strict,IRR,0,0,false
OFFICIAL-002,community,finance_broad_employment_strict,Geological Feasibility,1,1,false
OFFICIAL-002,community,finance_broad_employment_strict,Market Stability,0,0,false
OFFICIAL-002,community,finance_broad_employment_strict,Local Employment,0,0,false
OFFICIAL-002,community,finance_broad_employment_strict,Community Infrastructure,30,9,true
OFFICIAL-011,government,primary_preregistered,NPV,0,0,false
OFFICIAL-011,government,primary_preregistered,IRR,0,0,false
OFFICIAL-011,government,primary_preregistered,Geological Feasibility,13,1,false
OFFICIAL-011,government,primary_preregistered,Market Stability,0,0,false
OFFICIAL-011,government,primary_preregistered,Local Employment,49,6,true
OFFICIAL-011,government,primary_preregistered,Community Infrastructure,4,2,true
OFFICIAL-011,government,employment_strict,NPV,0,0,false
OFFICIAL-011,government,employment_strict,IRR,0,0,false
OFFICIAL-011,government,employment_strict,Geological Feasibility,13,1,false
OFFICIAL-011,government,employment_strict,Market Stability,0,0,false
OFFICIAL-011,government,employment_strict,Local Employment,0,0,false
OFFICIAL-011,government,employment_strict,Community Infrastructure,4,2,true
OFFICIAL-011,government,finance_broad_employment_strict,NPV,2,1,false
OFFICIAL-011,government,finance_broad_employment_strict,IRR,0,0,false
OFFICIAL-011,government,finance_broad_employment_strict,Geological Feasibility,13,1,false
OFFICIAL-011,government,finance_broad_employment_strict,Market Stability,0,0,false
OFFICIAL-011,government,finance_broad_employment_strict,Local Employment,0,0,false
OFFICIAL-011,government,finance_broad_employment_strict,Community Infrastructure,4,2,true
OFFICIAL-001,labour,primary_preregistered,NPV,0,0,false
OFFICIAL-001,labour,primary_preregistered,IRR,0,0,false
OFFICIAL-001,labour,primary_preregistered,Geological Feasibility,0,0,false
OFFICIAL-001,labour,primary_preregistered,Market Stability,0,0,false
OFFICIAL-001,labour,primary_preregistered,Local Employment,209,7,true
OFFICIAL-001,labour,primary_preregistered,Community Infrastructure,9,2,true
OFFICIAL-001,labour,employment_strict,NPV,0,0,false
OFFICIAL-001,labour,employment_strict,IRR,0,0,false
OFFICIAL-001,labour,employment_strict,Geological Feasibility,0,0,false
OFFICIAL-001,labour,employment_strict,Market Stability,0,0,false
