search_id,search_date,source_family,year_window,query_terms,domain,status,notes
SEARCH-MW-001,2026-08-22,media,2010-2012,"Marikana; Lonmin; strike; police; workers; union",miningweekly.com,screened_initial,"Systematic strict-source expansion; retain distinct substantive stories and log mirrors separately"
SEARCH-MW-002,2026-08-22,media,2013-2015,"Marikana; Lonmin; AMCU; union recognition; strike; Farlam; housing; wages",miningweekly.com,screened_initial,"Multiple additional eligible records identified beyond the 58-record seed set; expansion candidates logged"
SEARCH-MW-003,2026-08-22,media,2016-2018,"Marikana; Lonmin; housing; community; BEE; acquisition; social labour plan",miningweekly.com,screened_initial,"Additional community/housing and ownership-transition records identified"
SEARCH-MW-004,2026-08-22,media,2019-2023,"Marikana; Sibanye; renewal; labour; community; justice; memorial",miningweekly.com,screened_initial,"Continue saturation pass after current candidate acquisition"
SEARCH-EN-001,2026-08-22,media,2010-2014,"Marikana; Lonmin; strike; housing; community; union",engineeringnews.co.za,screened_initial,"Creamer Media mirror risk flagged; canonicalize identical Mining Weekly/Engineering News stories by text hash"
SEARCH-EN-002,2026-08-22,media,2015-2018,"Marikana; Lonmin; Farlam; housing; community; acquisition",engineeringnews.co.za,screened_initial,"Mirror and distinct-story screening required"
SEARCH-EN-003,2026-08-22,media,2019-2023,"Marikana; Sibanye; renewal; labour; community",engineeringnews.co.za,screened_initial,"Continue saturation pass"
SEARCH-DM-001,2026-08-22,media,2010-2012,"Marikana; Lonmin; massacre; workers; police; community; living conditions",dailymaverick.co.za,screened_initial,"Large number of distinct substantive 2012 records identified beyond seed set"
SEARCH-DM-002,2026-08-22,media,2013-2015,"Marikana; Commission; Lonmin; Ramaphosa; justice; workers; Farlam",dailymaverick.co.za,screened_initial,"Multiple Commission/accountability articles identified and logged"
SEARCH-DM-003,2026-08-22,media,2016-2019,"Marikana; Lonmin; accountability; housing; Sibanye",dailymaverick.co.za,screened_initial,"Additional housing, Bapo Ba Mogale, community-participation and accountability records logged"
SEARCH-DM-004,2026-08-22,media,2020-2023,"Marikana; Sibanye; justice; renewal; workers; accountability",dailymaverick.co.za,screened_initial,"Additional retrospective/accountability records identified; records dated 2024 and 2026 explicitly excluded as outside primary 2010-2023 window"
SEARCH-JUSTICE-001,2026-08-22,official,2012-2015,"Marikana Commission; reports; heads of argument; stakeholder submissions",justice.gov.za,screened_initial,"Official archive contains many evidentiary exhibits; source-family rule limits primary NLP corpus to substantive authored reports/submissions, not raw evidence artefacts"
SEARCH-GOV-001,2026-08-22,official,2012-2023,"Marikana; Lonmin; Farlam; housing; workers; implementation",gov.za,ongoing,"Formal government documents only; incidental mentions excluded"
