candidate_id,source_family,title,year,publisher,url,decision,status,relevance_note
EXP-MEDIA-001,Mining Weekly,"It's business unusual at 'improving' Lonmin – Munroe",2013,"Mining Weekly",https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,include_candidate,verified,"Direct post-Marikana Lonmin operational and employee-relations response"
EXP-MEDIA-002,Mining Weekly,"Lonmin accelerates union recognition process to ease Marikana tensions",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,include_candidate,verified,"Direct Marikana labour-relations and union-recognition evidence"
EXP-MEDIA-003,Mining Weekly,"Lonmin to derecognise smaller unions in favour of AMCU",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,include_candidate,verified,"Direct stakeholder conflict over union recognition at Lonmin"
EXP-MEDIA-004,Mining Weekly,"NUM wants members at Lonmin back",2013,"Mining Weekly",https://www.miningweekly.com/article/num-wants-members-at-lonmin-back-2013-07-11,include_candidate,verified,"Direct Lonmin/NUM/AMCU labour-relations dispute"
EXP-MEDIA-005,Mining Weekly,"NUM member gunned down at Lonmin hostel",2013,"Mining Weekly",https://www.miningweekly.com/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,include_candidate,verified,"Direct Marikana violence, union and stakeholder-stability evidence"
EXP-MEDIA-006,Mining Weekly,"AMCU postpones Lonmin strike action pending meeting with Motlanthe",2013,"Mining Weekly",https://www.miningweekly.com/article/amcu-postpones-strike-action-pending-meeting-with-motlanthe-2013-06-13,include_candidate,verified,"Direct collective-bargaining and recognition dispute at Lonmin"
EXP-MEDIA-007,Mining Weekly,"Union puts chamber on spot over alleged Lonmin breach",2013,"Mining Weekly",https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,include_candidate,verified,"Direct stakeholder-governance dispute involving Lonmin recognition agreement"
EXP-MEDIA-008,Mining Weekly,"Solidarity gears up for Lonmin strike",2013,"Mining Weekly",https://www.miningweekly.com/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,include_candidate,verified,"Direct labour-relations consequence of Lonmin/AMCU recognition agreement"
EXP-MEDIA-009,Mining Weekly,"An end to platinum miner's single-sex hostels beckons",2014,"Mining Weekly",https://www.miningweekly.com/article/an-end-to-platinum-miners-single-sex-hostels-beckons-2014-03-28,include_candidate,verified,"Substantive Marikana worker housing and living-conditions evidence"
EXP-MEDIA-010,Mining Weekly,"Marikana report to Zuma by Tuesday",2015,"Mining Weekly",https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,include_candidate,verified,"Direct Farlam Commission/reporting process"
EXP-MEDIA-011,Daily Maverick,"Marikana Commission: Sowing the killing fields",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-11-09-marikana-commission-sowing-the-killing-fields/,include_candidate,verified,"Direct Commission evidence on police, unions and Lonmin negotiations"
EXP-MEDIA-012,Daily Maverick,"Marikana Commission: 'Don't single us out' - police",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-11-06-marikana-commission-dont-single-us-out-police/,include_candidate,verified,"Direct Commission/governance evidence on police conduct"
EXP-MEDIA-013,Daily Maverick,"Marikana Commission: The foiled saviour, Joseph Mathunjwa",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-11-29-marikana-commission-the-foiled-saviour-joseph-mathunjwa/,include_candidate,verified,"Direct AMCU/Lonmin/police stakeholder account at Commission"
EXP-MEDIA-014,Daily Maverick,"25 October 2012: A day of reckoning at Marikana",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-10-24-25-october-2012-a-day-of-reckoning-at-marikana/,include_candidate,verified,"Substantive Lonmin management, labour dispute and Commission context"
EXP-MEDIA-015,Daily Maverick,"Marikana Commission: Gung-ho Mangwashi Phiyega under scrutiny",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-01-24-marikana-commission-gung-ho-mangwashi-phiyega-under-scrutiny/,include_candidate,verified,"Direct police accountability evidence before Commission"
EXP-MEDIA-016,Daily Maverick,"Money-kana Commission?",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-08-30-money-kana-commission/,include_candidate,verified,"Substantive Commission access-to-justice and police oversight evidence"
EXP-MEDIA-017,Daily Maverick,"Marikana Commission: Lies, videotapes and the police's crumbling wall of deceit",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-09-16-marikana-commission-lies-videotapes-and-the-polices-crumbling-wall-of-deceit/,include_candidate,verified,"Direct Commission evidence and police-accountability reporting"
EXP-MEDIA-018,Daily Maverick,"Marikana massacre: More disturbing questions about police planning and objectives",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-10-23-marikana-massacre-more-disturbing-questions-about-police-planning-and-objectives/,include_candidate,verified,"Direct police planning/governance evidence tied to Marikana"
EXP-MEDIA-019,Daily Maverick,"Marikana massacre: SAPS, Lonmin, Ramaphosa & time for blood. Miners' blood.",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-10-24-marikana-massacre-saps-lonmin-ramaphosa-time-for-blood-miners-blood/,include_candidate,verified,"Direct political/corporate/police stakeholder evidence"
EXP-MEDIA-020,Daily Maverick,"Marikana massacre: Ramaphosa's statement, revisited",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-10-25-marikana-massacre-ramaphosas-statement-revisited/,include_candidate,verified,"Direct corporate-government stakeholder involvement evidence"
EXP-MEDIA-021,Daily Maverick,"Memories of Marikana, through the eNCA lens",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-08-13-memories-of-marikana-through-the-enca-lens/,include_candidate,verified,"Substantive retrospective on causes, living conditions, unions, company and police"
EXP-MEDIA-022,Daily Maverick,"Marking the anniversary of two mining massacres: So much remains the same",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-08-14-marking-the-anniversary-of-two-mining-massacres-so-much-remains-the-same/,include_candidate,verified,"Substantive first-anniversary Marikana labour/governance context"
EXP-MEDIA-023,Daily Maverick,"Marikana massacre: The first of Lonmin's voices are heard",2014,"Daily Maverick",https://www.dailymaverick.co.za/article/2014-06-09-marikana-massacre-the-first-of-lonmins-voices-are-heard/,include_candidate,verified,"Direct Lonmin management testimony and labour-relations history"
EXP-MEDIA-024,Daily Maverick,"Marikana report: Key findings and recommendations",2015,"Daily Maverick",https://www.dailymaverick.co.za/article/2015-06-26-marikana-report-key-findings-and-recommendations/,include_candidate,verified,"Direct summary of Farlam findings on Lonmin, unions and police"
EXP-MEDIA-025,Daily Maverick,"amaBhungane: 'War' looming over Marikana housing evictions",2016,"Daily Maverick",https://www.dailymaverick.co.za/article/2016-08-31-amabhungane-war-looming-over-marikana-housing-evictions/,include_candidate,verified,"Direct Marikana housing, Lonmin SLP and community-conflict evidence"
