candidate_id,title,year,publisher,url,override_reason
INST-001,"Marikana Commission of Inquiry: Report on matters of public national and international concern arising out of tragic incidents at Lonmin Mine in Marikana",2015,"South African Human Rights Commission mirror of official Farlam report",https://www.sahrc.org.za/home/21/files/marikana-report-1.pdf,"Repository copy is malformed for text extraction; use a verified public mirror of the same official report"
CORP-001,"Lonmin Plc Annual Report and Accounts 2012",2012,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2012.pdf,"Longitudinal corporate block selected before labeling; directly addresses the 2012 Marikana events"
CORP-002,"Lonmin Plc Annual Report and Accounts 2013",2013,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2013.pdf,"Longitudinal corporate block selected before labeling"
CORP-003,"Lonmin Plc Annual Report and Accounts 2014",2014,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2014.pdf,"Longitudinal corporate block selected before labeling; covers the five-month platinum strike"
CORP-004,"Lonmin Plc Annual Report and Accounts 2016",2016,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2015.pdf,"AnnualReports archive URL resolves to the verified 2016 Lonmin report; longitudinal corporate block selected before labeling"
CORP-006,"Lonmin Plc Annual Report and Accounts 2017",2017,"Lonmin Plc",https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/final-offer/lonmin-year-end-30september2017.pdf,"Verified Sibanye-Stillwater transaction archive mirror of Lonmin report"
CORP-007,"Lonmin Plc Annual Report and Accounts 2018",2018,"Lonmin Plc",https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,"Verified Sibanye-Stillwater transaction archive mirror of Lonmin report"
CORP-008,"Sibanye-Stillwater Integrated Report 2019",2019,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2019/,"Official online integrated-report edition; post-acquisition Marikana corporate perspective"
CORP-009,"Sibanye-Stillwater Integrated Report 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/,"Official online integrated-report edition; includes Marikana integration and renewal content"
CORP-010,"Sibanye-Stillwater Integrated Report 2021",2021,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2021/,"Official online integrated-report edition"
CORP-011,"Sibanye-Stillwater Integrated Report 2022",2022,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2022/,"Official online integrated-report edition; includes Marikana renewal and stakeholder disclosures"
CORP-012,"Sibanye-Stillwater Integrated Report 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/,"Official online integrated-report edition; includes Marikana socioeconomic and operational disclosures"
EXP-MEDIA-001,"It's business unusual at 'improving' Lonmin – Munroe",2013,"Mining Weekly",https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,"Correct verified article URL/date; initial candidate metadata used an incorrect 03-05 suffix"
expanded_corporate_candidates__EXP-CORP-002,"Lonmin Plc Annual Report and Accounts 2011",2011,"Lonmin Plc",https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,"Historical lonmin.com URL now fails TLS; AnnualReports UK archive path is independently cited for the same 160-page 2011 Lonmin annual report"
expanded_corporate_candidates_batch1__EXP-CORP-002,"Lonmin Plc Annual Report and Accounts 2011",2011,"Lonmin Plc",https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,"Same screened 2011 annual-report identity as the consolidated candidate; use verified archive path before exact-text deduplication"
expanded_corporate_candidates_batch1__EXP-CORP-003,"Lonmin Plc Annual Report and Accounts 2015",2015,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2015.pdf,"Paperzz landing page yielded only three extracted words; use the verified AnnualReports PDF already recovered for the same report identity"
EXP-GOV-010,"Panel of Experts Report on Policing and Crowd Management",2018,"Panel of Experts / Minister of Police",https://www.polity.org.za/attachment.php?aa_id=84996,"Official SAPS host fails certificate validation on the reproducibility runner; Polity provides the complete same report and identifies its Marikana Commission provenance and 27 May 2018 final-report date"
expanded_media_candidates_batch1__EXP-MEDIA-038,"Lonmin hands over New Marikana primary school to Basic Education dept",2018,"Engineering News / Creamer Media",https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,"Mining Weekly URL is now 404; use the surviving Engineering News Creamer Media mirror of the same 6 April 2018 story"
EXP-NGO-014,"Eight years since Marikana, the brutality and lack of accountability continues",2020,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/SERI_Press_statement_Marikana_8th_anniversary_FINAL.pdf,"Current article route is 404; SERI's archived 2020 press-statements index resolves the original static PDF filename for the same statement"
EXP-NGO-022,"South Africa: Marikana Commission Report only partly addresses accountability leaving families with a long struggle for closure",2015,"Amnesty International",https://www.amnesty.org/en/wp-content/uploads/2023/06/AFR5321112015ENGLISH.pdf,"HTML document landing page yielded only 64 words; use Amnesty's full PDF for the same AFR 53/2111/2015 document"
expanded_media_candidates_batch1__EXP-MEDIA-025,"It's business unusual at 'improving' Lonmin – Munroe",2013,"Mining Weekly",https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,"Duplicate screening entry used an incorrect 03-05 suffix; point both candidate identities at the verified 15 March 2013 article so exact-text deduplication can collapse them"
