record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families,final_reconstructed_label,final_label_method,adjudication_score,pass1_stakeholder_group_proxy,pass1_stakeholder_confidence,pass1_stakeholder_method,final_stakeholder_group,final_stakeholder_status,final_stakeholder_method,final_stakeholder_confidence,third_pass_score_government,third_pass_score_investor,third_pass_score_community,third_pass_score_labour,third_pass_score_NGO
OFFICIAL-001,AMCU Heads of Argument,2014,AMCU,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,labour,1.0000,document_author_group,0.000,0.000,0.000,10.000,0.000,0,-2.51852,38,483,0,-18.83524,5,444,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,labour,1.0000,document_author_group,labour,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-002,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,community,1.0000,document_author_group,0.000,0.000,10.000,0.000,0.000,1,0.42744,22,14,0,-3.31662,0,11,,0.3567,true,stance_readings_disagree_or_low_margin,,,0,third_computational_adjudication_clear_margin,-1.070184,community,1.0000,document_author_group,community,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-003,DMR-Shabangu Heads of Argument,2014,DMR / Minister Shabangu,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,0,-2.70805,0,14,0,-3.16228,0,10,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,government,1.0000,document_author_group,government,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-004,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,labour,0.0356,dominant_voice_proxy,892.900,469.000,88.100,925.900,0.000,0,-2.61758,120,1657,0,-34.63676,15,1483,0,1.0000,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0356,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0097,528.800,339.200,57.000,534.000,0.000
OFFICIAL-005,Heads of Argument on behalf of Families,2014,Families,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,community,1.0000,document_author_group,0.000,0.000,10.000,0.000,0.000,0,-4.07641,14,883,0,-23.21928,7,669,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,community,1.0000,document_author_group,community,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-006,Heads of Argument of Injured and Arrested Persons,2014,Injured and Arrested Persons,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,community,1.0000,document_author_group,0.000,0.000,10.000,0.000,0.000,0,-3.41851,20,640,0,-21.06646,6,553,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,community,1.0000,document_author_group,community,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-007,Lonmin Heads of Argument,2014,Lonmin,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-2.20226,43,397,0,-18.10501,2,381,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,investor,1.0000,document_author_group,investor,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-008,Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation,2014,Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre),https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,NGO,1.0000,document_author_group,0.000,0.000,0.000,0.000,10.000,0,-2.50600,42,526,0,-18.76393,5,441,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,NGO,1.0000,document_author_group,NGO,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-009,Mthethwa Heads of Argument,2014,Nathi Mthethwa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,0,-1.46634,5,25,0,-3.69042,1,22,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,government,1.0000,document_author_group,government,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
OFFICIAL-010,NUM & Mrs Fundi Heads of Argument,2014,NUM and Mrs Fundi,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,labour,1.0000,document_author_group,0.000,0.000,0.000,10.000,0.000,0,-1.42760,82,345,0,-14.74824,9,315,0,1.0000,false,computational_readings_agree,,,0,pass1_independent_readings_agree,,labour,1.0000,document_author_group,labour,resolved,pass1_retained_sufficient_confidence,1.0000,,,,,
