representative_record_id,redundant_record_id,candidate_signal,raw_text_evidence_signal,final_duplicate_decision,decision_basis,fresh_text_similarity,fresh_hash_identity,fresh_hash_record_scope,title_sequence_similarity,slug_sequence_similarity,source_context,decision_provenance
DISC-MEDIA-0387,DISC-MEDIA-0388,high_title_similarity,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.989461,false,0,0.968750,0.968750,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-010,DISC-MEDIA-0656,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-013,DISC-MEDIA-0610,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-016,DISC-MEDIA-0527,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-018,DISC-MEDIA-0640,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-022,DISC-MEDIA-0480,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-024,DISC-MEDIA-0419,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-025,DISC-MEDIA-0400,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-031,DISC-MEDIA-0450,exact_normalised_title,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.985694,false,0,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-033,DISC-MEDIA-0665,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-034,DISC-MEDIA-0582,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-038,DISC-MEDIA-0370,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-042,DISC-MEDIA-0589,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-044,DISC-MEDIA-0523,high_title_similarity,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.975987,false,0,0.992366,0.928000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-047,DISC-MEDIA-0674,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
