candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id,source_universe
EXP-CORP-001,corporate,"Lonmin Plc Annual Report and Accounts 2010",2010,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2010.pdf,eligible_pending_acquisition,"Distinct annual corporate communication within study period; contains substantive Marikana operations, community investment, SLP and employee-relations material",SEARCH-CORP-001,strict_documented
EXP-CORP-002,corporate,"Lonmin Plc Annual Report and Accounts 2011",2011,"Lonmin Plc",https://www.lonmin.com/Lonmin_Annual_Report_2011/Root/pdfs/Lonmin_AR2011.pdf,eligible_archive_retrieval,"Distinct annual corporate communication immediately preceding the 2012 crisis; historical references verify this exact corporate report and URL; archive recovery may be required",SEARCH-CORP-001,strict_documented
EXP-CORP-003,corporate,"Lonmin Plc Annual Report and Accounts 2015",2015,"Lonmin Plc",https://paperzz.com/doc/7201301/accelerating-our-strategy,eligible_pending_acquisition,"Complete mirrored text of the 2015 Lonmin annual report; contains Farlam-era stakeholder engagement, SLP, workforce restructuring, housing and union material; canonical document is Lonmin corporate report",SEARCH-CORP-001,strict_documented
EXP-CORP-004,corporate,"Lonmin Plc Sustainable Development Report 2016",2016,"Lonmin Plc",https://wikirate-production-storage.fra1.cdn.digitaloceanspaces.com/files/3336301/14042001.pdf,eligible_pending_acquisition,"Distinct sustainability report focused on employee relationships, stakeholder engagement and community development; separate from annual report",SEARCH-CORP-001,strict_documented
EXP-CORP-005,corporate,"Lonmin Plc Sustainable Development Report 2018",2018,"Lonmin Plc",https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/1548855505-lonmin-sdr-2018.pdf,eligible_pending_acquisition,"Official Sibanye transaction archive copy of Lonmin's distinct 2018 sustainability report; substantive stakeholder and social-development content",SEARCH-CORP-001,strict_documented
EXP-CORP-006,corporate,"Marikana Renewal Fact Sheet 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/download/SSW-FS20-marikana-renewal.pdf,eligible_pending_acquisition,"Dedicated Marikana-specific corporate communication on honour-engage-create renewal, community engagement, affected families and socioeconomic programmes",SEARCH-CORP-001,strict_documented
EXP-CORP-007,corporate,"Social and Labour Plans: Summary of Projects in South Africa 2021",2021,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2021/download/SSW-FS21-SLP-summary.pdf?v=0.572,eligible_pending_acquisition,"Distinct SLP report with detailed Marikana operation projects, budgets, beneficiaries and outcomes; not an alternate format of the integrated report",SEARCH-CORP-001,strict_documented
EXP-CORP-008,corporate,"Sibanye-Stillwater Group Impact Report 2022",2022,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2022/download/SSW-IMPACT22.pdf,eligible_pending_acquisition,"Distinct impact report with dedicated Marikana socioeconomic, employment, procurement, training and social-investment metrics",SEARCH-CORP-001,strict_documented
EXP-CORP-009,corporate,"Sibanye-Stillwater Group Impact Supplement 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/downloads/ssw-Impact23.pdf,eligible_pending_acquisition,"Distinct impact supplement with dedicated Marikana economic, employment, procurement and social-investment sections",SEARCH-CORP-001,strict_documented
EXP-CORP-010,corporate,"Social and Labour Plans: Summary of Projects in South Africa 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/downloads/ssw-FS23-SLP-summary.pdf,eligible_pending_acquisition,"Distinct project-level SLP report with Marikana outcomes and community-infrastructure commitments",SEARCH-CORP-001,strict_documented
PENDING-CORP-011,corporate,"Lonmin Sustainable Development Report 2011: Building for the Future",2011,"Lonmin Plc",,pending_source_resolution,"Historical literature verifies a distinct 2011 sustainability report with direct employee-relations relevance, but a stable recoverable document URL must be resolved before acquisition",SEARCH-CORP-001,strict_documented
PENDING-CORP-012,corporate,"Lonmin Sustainable Development Report 2012",2012,"Lonmin Plc",,pending_source_resolution,"Distinct corporate sustainability report is historically verified; exact stable source/archive must be resolved before inclusion",SEARCH-CORP-001,strict_documented
PENDING-CORP-013,corporate,"Lonmin Sustainable Development Report 2013",2013,"Lonmin Plc",,pending_source_resolution,"Distinct report historically titled around rebuilding stakeholder trust; exact stable source/archive must be resolved before inclusion",SEARCH-CORP-001,strict_documented
PENDING-CORP-014,corporate,"Lonmin Sustainable Development Report 2014: Rebuilding Bridges",2014,"Lonmin Plc",http://sd-report.lonmin.com/2014/download_manager/Lonmin%20Sustain_Final_8547_WEB.pdf,pending_archive_retrieval,"Exact historical corporate report URL recovered from contemporaneous citations; live/archive acquisition still requires verification",SEARCH-CORP-001,strict_documented
